ID,County_Soil,marginal_cost,marginal_qty
333,"BARTON COUNTY, MO",5.850277126,303619.01
334,"BEAUFORT COUNTY, NC",5.860933482,182981.57
335,"NASH COUNTY, NC",5.860933482,119853.89
336,"GADSDEN COUNTY, FL",5.882246194,40463.81
337,"CHOCTAW COUNTY, MS",5.892901708,18773.21
338,"CARTER COUNTY, TN",5.894599754,975.75
339,"HAYWOOD COUNTY, NC",5.896115115,3001.15
340,"SCHENECTADY COUNTY, NY",5.90027394,14822.5
341,"PUTNAM COUNTY, NY",5.901319539,1019.79
342,"AVERY COUNTY, NC",5.907463486,561.79
343,"WATAUGA COUNTY, NC",5.918422073,591.36
344,"ASHLAND COUNTY, WI",5.91913766,27422.47
345,"JOHNSTON COUNTY, OK",5.932569652,23506.56
346,"LEON COUNTY, FL",5.935527132,18346.94
347,"LINCOLN COUNTY, MS",5.935527132,15542.92
348,"YANCEY COUNTY, NC",5.942459909,680.06
349,"RUSSELL COUNTY, AL",5.946183488,50977.7
350,"PERRY COUNTY, MS",5.946183488,20926.75
351,"TRAILL COUNTY, ND",5.951006546,683893.98
352,"LA SALLE COUNTY, IL",5.956839844,1146092.64
353,"FRANKLIN COUNTY, NC",5.956839844,25517.18
354,"FORREST COUNTY, MS",5.9674962,19615.91
355,"ABBEVILLE COUNTY, SC",5.9674962,607.37
356,"EMANUEL COUNTY, GA",5.988808912,124533.03
357,"EDGECOMBE COUNTY, NC",5.988808912,170696.06
358,"SPARTANBURG COUNTY, SC",5.988808912,1424.19
359,"DOUGLAS COUNTY, WI",5.99647243,9371.21
360,"COWETA COUNTY, GA",5.999464426,523.6
361,"ONTONAGON COUNTY, MI",6.002578493,43908.48
362,"LAFAYETTE COUNTY, FL",6.010121624,27667.02
363,"MARQUETTE COUNTY, MI",6.016347232,12948.94
364,"LEE COUNTY, SC",6.020777138,185647.62
365,"JACKSON PARISH, LA",6.031433494,819.28
366,"MOORE COUNTY, TN",6.038719013,2735.04
367,"DODGE COUNTY, GA",6.04208985,90624.68
368,"WARREN COUNTY, NC",6.04208985,5514.44
369,"BLOUNT COUNTY, TN",6.050841902,7732.03
370,"ROBERTS COUNTY, SD",6.06340172,570262.61
371,"CAMPBELL COUNTY, VA",6.06340172,9012.08
372,"BARAGA COUNTY, MI",6.069687943,19840.13
373,"JASPER COUNTY, MS",6.074058076,5454.07
374,"COLUMBUS COUNTY, NC",6.074058076,204388.8
375,"NORTHAMPTON COUNTY, NC",6.084714432,145119.74
376,"JEFFERSON DAVIS COUNTY, MS",6.095370788,10697.46
377,"WINSTON COUNTY, MS",6.106027144,16572.86
378,"UNICOI COUNTY, TN",6.10959161,236.54
379,"SCHLEY COUNTY, GA",6.1166835,25530.74
380,"PIATT COUNTY, IL",6.1166835,503260.3
381,"GRAINGER COUNTY, TN",6.127292711,502.65
382,"MARSHALL COUNTY, OK",6.132703392,26956.16
383,"BALDWIN COUNTY, GA",6.13799537,5215.06
384,"GRANVILLE COUNTY, NC",6.13799537,8648.64
385,"GLASCOCK COUNTY, GA",6.148652567,15749.89
386,"GUILFORD COUNTY, NC",6.148652567,7968.57
387,"ALLEGHANY COUNTY, NC",6.157475337,813.12
388,"HANCOCK COUNTY, GA",6.159308082,1780.24
389,"WILKINSON COUNTY, GA",6.169965279,13760.21
390,"GULF COUNTY, FL",6.180620794,649.26
391,"LIBERTY COUNTY, FL",6.180620794,4859.01
392,"UNION COUNTY, FL",6.180620794,10199.73
393,"DILLON COUNTY, SC",6.180620794,164242.85
394,"MATHEWS COUNTY, VA",6.184624714,4766.91
395,"PENDER COUNTY, NC",6.191277149,89324.93
396,"STOKES COUNTY, NC",6.191277149,2513.28
397,"MILLER COUNTY, GA",6.201933505,182757.35
398,"WALTHALL COUNTY, MS",6.201933505,20973.56
399,"WESTCHESTER COUNTY, NY",6.205078722,1446.68
400,"TALIAFERRO COUNTY, GA",6.212589861,230.38
401,"SUMTER COUNTY, SC",6.212589861,144639.27
402,"JEFFERSON COUNTY, FL",6.223246217,37154.65
403,"JONES COUNTY, GA",6.223246217,3099.72
404,"RANDOLPH COUNTY, NC",6.233902573,7081.53
405,"RICHLAND COUNTY, SC",6.233902573,40086.82
406,"HOLMES COUNTY, FL",6.244558087,86645.33
407,"JACKSON COUNTY, FL",6.244558087,217147.39
408,"LANCASTER COUNTY, SC",6.244558087,4607.68
409,"BEDFORD COUNTY, TN",6.244558087,37477.44
410,"SUFFOLK CITY, VA",6.251536325,123536.64
411,"CUMBERLAND COUNTY, NC",6.255214443,92237.38
412,"GEORGE COUNTY, MS",6.265870799,26310.59
413,"GREENE COUNTY, MS",6.265870799,17509.18
414,"PONTOTOC COUNTY, MS",6.265870799,149179.19
415,"CASWELL COUNTY, NC",6.265870799,4790.01
416,"SANTA ROSA COUNTY, FL",6.276527155,128302.95
417,"TIPPAH COUNTY, MS",6.276527155,59222.24
418,"WESTMORELAND COUNTY, VA",6.276527155,34388.2
419,"HAMBLEN COUNTY, TN",6.287702102,2409.79
420,"JOHNSON COUNTY, TN",6.306596129,1108.8
421,"JEFFERSON COUNTY, GA",6.308495381,132470.8
422,"MONTGOMERY COUNTY, MS",6.308495381,53089.34
423,"MARTIN COUNTY, NC",6.308495381,130380.1
424,"PROVIDENCE COUNTY, RI",6.308905371,4766.92
425,"BERTIE COUNTY, NC",6.319151737,127260.67
426,"OCONEE COUNTY, SC",6.319151737,816.81
427,"ASHE COUNTY, NC",6.320463367,1404.48
428,"WASHINGTON COUNTY, TN",6.323556387,9373.06
429,"LAUDERDALE COUNTY, MS",6.351120805,9854.77
430,"MONTGOMERY COUNTY, NC",6.351120805,9653.95
431,"PERSON COUNTY, NC",6.351120805,6904.13
432,"GREER COUNTY, OK",6.351120805,271877.76
433,"TIPTON COUNTY, TN",6.351120805,247853.76
434,"CHESAPEAKE CITY, VA",6.355224908,69250.72
435,"YADKIN COUNTY, NC",6.361777161,3518.59
436,"SUFFOLK COUNTY, NY",6.370931626,54902.54
437,"RICHMOND COUNTY, NC",6.372433517,30528.96
438,"QUITMAN COUNTY, GA",6.383089873,15100.62
439,"DUPLIN COUNTY, NC",6.383089873,257699.91
440,"HALIFAX COUNTY, NC",6.383089873,161988.29
441,"COOSA COUNTY, AL",6.393746229,649.26
442,"WEST BATON ROUGE PARISH, LA",6.393746229,85626.46
443,"FRANKLIN COUNTY, MS",6.393746229,9363.2
444,"BRUNSWICK COUNTY, NC",6.393746229,66040.13
445,"CARTERET COUNTY, NC",6.393746229,72870.34
446,"CHOWAN COUNTY, NC",6.393746229,53547.65
447,"MECKLENBURG COUNTY, NC",6.393746229,1241.85
448,"NEW HANOVER COUNTY, NC",6.393746229,7244.16
449,"ONSLOW COUNTY, NC",6.393746229,87816.96
450,"RUTHERFORD COUNTY, NC",6.393746229,251.33
451,"WASHINGTON COUNTY, NC",6.393746229,117636.29
452,"POINSETT COUNTY, AR",6.404401743,852713.4
453,"DURHAM COUNTY, NC",6.404401743,1862.78
454,"LOUDOUN COUNTY, VA",6.404401743,42380.49
455,"ADAMS COUNTY, MS",6.425714455,46301.03
